0,dart,time,velocity
0,301,56,1585
0,301,470,1640
0,301,580,1680
0,301,770,1710
0,301,870,1730
0,301,1006,1749
0,301,1126,1804
0,301,1330,1890
0,301,1540,2030
0,301,1830,2280
0,301,1960,2370
0,301,2131,2465
0,301,2338,2584
0,301,2425,2635
0,301,2808,2855
0,301,3880,3385
0,302,56,1585
0,302,470,1670
0,302,580,1690
0,302,720,1710
0,302,870,1730
0,302,1006,1749
0,302,1116,1785
0,302,1330,1890
0,302,1540,2030
0,302,1830,2280
0,302,1960,2370
0,302,2157,2480
0,302,2330,2614
0,302,2431,2670
0,302,2808,2855
0,302,3880,3385
0,303,56,1585
0,303,470,1670
0,303,580,1680
0,303,720,1710
0,303,851,1725
0,303,998,1769
0,303,1120,1805
0,303,1330,1910
0,303,1530,2020
0,303,1830,2290
0,303,1960,2370
0,303,2150,2455
0,303,2340,2580
0,303,2431,2670
0,303,2845,2875
0,303,3880,3385
0,304,56,1585
0,304,455,1640
0,304,583,1670
0,304,760,1700
0,304,851,1725
0,304,998,1769
0,304,1123,1794
0,304,1320,1890
0,304,1530,2020
0,304,1820,2260
0,304,1960,2370
0,304,2136,2475
0,304,2336,2649
0,304,2425,2715
0,304,2837,2945
0,304,3880,3385
0,305,56,1585
0,305,461,1640
0,305,570,1650
0,305,760,1700
0,305,851,1725
0,305,997,1769
0,305,1120,1795
0,305,1323,1910
0,305,1530,2020
0,305,1820,2280
0,305,1950,2370
0,305,2136,2520
0,305,2332,2669
0,305,2410,2725
0,305,2837,2945
0,305,3880,3385
0,306,56,1585
0,306,461,1640
0,306,570,1650
0,306,760,1700
0,306,851,1725
0,306,997,1769
0,306,1117,1815
0,306,1323,1910
0,306,1530,2030
0,306,1820,2260
0,306,1950,2370
0,306,2136,2505
0,306,2313,2679
0,306,2414,2765
0,306,2837,2994
0,306,3880,3385
0,307,56,1585
0,307,461,1640
0,307,570,1660
0,307,748,1700
0,307,851,1725
0,307,1000,1749
0,307,1117,1820
0,307,1320,1910
0,307,1520,2020
0,307,1820,2290
0,307,1950,2380
0,307,2132,2480
0,307,2324,2644
0,307,2400,2714
0,307,2837,2994
0,307,3880,3385
0,308,56,1585
0,308,461,1640
0,308,577,1660
0,308,700,1700
0,308,851,1725
0,308,1000,1749
0,308,1110,1775
0,308,1320,1910
0,308,1520,2020
0,308,1816,2275
0,308,1964,2380
0,308,2132,2480
0,308,2324,2644
0,308,2390,2710
0,308,2840,2959
0,308,3880,3385
0,309,56,1585
0,309,461,1640
0,309,560,1670
0,309,700,1690
0,309,843,1730
0,309,1000,1749
0,309,1106,1770
0,309,1312,1895
0,309,1512,2035
0,309,1820,2300
0,309,1950,2380
0,309,2140,2485
0,309,2298,2619
0,309,2397,2705
0,309,2840,2959
0,309,3880,3385
0,310,56,1585
0,310,461,1640
0,310,550,1650
0,310,740,1680
0,310,824,1715
0,310,1000,1749
0,310,1092,1770
0,310,1310,1900
0,310,1510,2020
0,310,1810,2280
0,310,1954,2395
0,310,2136,2510
0,310,2298,2619
0,310,2390,2700
0,310,2840,2959
0,310,3880,3385
0,311,56,1585
0,311,461,1640
0,311,550,1650
0,311,750,1710
0,311,824,1715
0,311,1000,1749
0,311,1107,1779
0,311,1310,1900
0,311,1510,2020
0,311,1810,2290
0,311,1940,2380
0,311,2121,2500
0,311,2298,2619
0,311,2390,2690
0,311,2840,2959
0,311,3880,3385
0,312,56,1585
0,312,430,1645
0,312,550,1670
0,312,750,1710
0,312,824,1715
0,312,974,1744
0,312,1107,1775
0,312,1310,1900
0,312,1510,2020
0,312,1810,2260
0,312,1940,2370
0,312,2132,2484
0,312,2298,2619
0,312,2390,2690
0,312,2840,2959
0,312,3880,3385
0,313,56,1585
0,313,430,1645
0,313,532,1675
0,313,730,1700
0,313,824,1715
0,313,974,1744
0,313,1097,1765
0,313,1310,1900
0,313,1510,2020
0,313,1810,2300
0,313,1940,2380
0,313,2130,2500
0,313,2298,2619
0,313,2380,2680
0,313,2840,2959
0,313,3880,3385
0,314,56,1585
0,314,430,1645
0,314,536,1655
0,314,730,1700
0,314,824,1715
0,314,974,1744
0,314,1093,1770
0,314,1310,1900
0,314,1500,2010
0,314,1810,2310
0,314,1940,2370
0,314,2137,2485
0,314,2298,2619
0,314,2370,2690
0,314,2840,2959
0,314,3880,3385
0,315,56,1585
0,315,430,1645
0,315,540,1665
0,315,691,1690
0,315,824,1715
0,315,974,1744
0,315,1093,1760
0,315,1310,1900
0,315,1503,2035
0,315,1800,2280
0,315,1930,2380
0,315,2130,2499
0,315,2298,2619
0,315,2389,2675
0,315,2840,2959
0,315,3880,3385
0,316,56,1585
0,316,430,1645
0,316,530,1640
0,316,702,1675
0,316,824,1715
0,316,974,1744
0,316,1076,1774
0,316,1310,1900
0,316,1500,2020
0,316,1800,2260
0,316,1930,2380
0,316,2126,2500
0,316,2298,2619
0,316,2367,2680
0,316,2840,2959
0,316,3880,3385
0,317,56,1585
0,317,430,1645
0,317,530,1650
0,317,720,1695
0,317,824,1715
0,317,974,1744
0,317,1087,1755
0,317,1290,1900
0,317,1490,2055
0,317,1800,2300
0,317,1930,2380
0,317,2126,2500
0,317,2286,2609
0,317,2372,2675
0,317,2840,2959
0,317,3880,3385
0,318,56,1585
0,318,430,1645
0,318,530,1670
0,318,670,1690
0,318,790,1720
0,318,962,1759
0,318,1087,1799
0,318,1290,1900
0,318,1490,2020
0,318,1800,2270
0,318,1930,2380
0,318,2130,2515
0,318,2271,2634
0,318,2364,2720
0,318,2840,2959
0,318,3880,3385
0,319,56,1585
0,319,430,1645
0,319,520,1660
0,319,660,1680
0,319,790,1720
0,319,962,1759
0,319,1073,1794
0,319,1290,1900
0,319,1490,2010
0,319,1800,2300
0,319,1930,2380
0,319,2141,2520
0,319,2271,2634
0,319,2350,2690
0,319,2840,2959
0,319,3880,3385
0,320,56,1585
0,320,430,1645
0,320,528,1680
0,320,710,1710
0,320,790,1720
0,320,962,1759
0,320,1070,1775
0,320,1280,1880
0,320,1480,2010
0,320,1790,2270
0,320,1940,2380
0,320,2126,2519
0,320,2271,2634
0,320,2351,2700
0,320,2840,2959
0,320,3880,3385
0,321,56,1585
0,321,430,1645
0,321,510,1640
0,321,706,1685
0,321,790,1720
0,321,962,1759
0,321,1070,1790
0,321,1280,1890
0,321,1480,2010
0,321,1790,2290
0,321,1920,2370
0,321,2123,2500
0,321,2271,2634
0,321,2351,2700
0,321,2840,2959
0,321,3880,3385
0,322,56,1585
0,322,430,1645
0,322,510,1660
0,322,710,1710
0,322,790,1720
0,322,962,1759
0,322,1056,1774
0,322,1280,1890
0,322,1480,2010
0,322,1790,2270
0,322,1920,2360
0,322,2123,2490
0,322,2271,2634
0,322,2351,2700
0,322,2840,2959
0,322,3880,3385
0,323,56,1585
0,323,430,1645
0,323,511,1650
0,323,700,1690
0,323,790,1720
0,323,943,1749
0,323,1063,1770
0,323,1270,1880
0,323,1470,2000
0,323,1786,2260
0,323,1920,2370
0,323,2131,2470
0,323,2290,2590
0,323,2463,2734
0,323,2847,2929
0,323,3880,3385
0,324,56,1585
0,324,430,1645
0,324,500,1660
0,324,650,1700
0,324,760,1710
0,324,943,1749
0,324,1067,1784
0,324,1270,1880
0,324,1470,2000
0,324,1780,2280
0,324,1920,2360
0,324,2116,2465
0,324,2340,2640
0,324,2460,2710
0,324,2847,2929
0,324,3880,3385
0,325,56,1585
0,325,430,1645
0,325,490,1670
0,325,640,1690
0,325,760,1685
0,325,950,1704
0,325,1064,1745
0,325,1270,1880
0,325,1470,2010
0,325,1780,2280
0,325,1910,2360
0,325,2123,2485
0,325,2330,2620
0,325,2460,2710
0,325,2847,2929
0,325,3880,3385
0,326,56,1585
0,326,430,1645
0,326,490,1650
0,326,640,1660
0,326,760,1685
0,326,950,1704
0,326,1050,1720
0,326,1270,1880
0,326,1460,2000
0,326,1780,2280
